Card Name,early,mid,late,flexible,conditional,hard commit,resources,action space,room
Abort Oriel,1,0,0,0,0,1,VP,0,0
Acorns Basket,0,1,1,1,0,0,pig,0,0
Adoptive Parents,0,0,0,0,0,0,0,0,0
Agrarian Fences,0,0,0,0,0,0,0,0,0
Ale-Benches,0,1,1,0,grain,0,VP,0,0
Angler,1,0,0,0,fishing,0,improvement,fishing,0
Animal Activist,1,1,1,1,stable,0,wood,0,0
Animal Catcher,0,0,0,0,0,0,0,0,0
Animal Dealer,0,1,1,1,0,0,sheep pig cattle,0,0
Animal Feeder,0,0,0,0,0,0,0,0,0
Animal Reeve,1,1,1,0,sheep pig cattle,0,wood,0,0
Animal Tamer,1,1,1,1,0,0,grain,0,0
Animal Teacher,1,0,0,0,0,1,sheep pig cattle,occupation,0
Asparagus Gift,0,1,1,0,fence,0,vegetable,0,0
Assistant Tiller,1,1,0,1,0,0,field,day_laborer,0
Automatic Water Trough,0,0,0,0,0,0,0,0,0
Baker,0,1,1,0,bake,0,bake,0,0
Baking Sheet,0,1,1,0,bake,0,VP,0,0
Bale of Straw,0,0,0,0,0,0,0,0,0
Barrow Pusher,0,1,0,1,0,0,food clay,0,0
Baseboards,0,1,1,1,0,0,wood,0,0
Basket,0,1,0,1,0,0,food,0,0
Basket Carrier,0,0,0,0,0,0,0,0,0
Basket Weaver,0,0,0,0,0,0,0,0,0
Basketmaker's Wife,1,1,1,1,0,0,food,0,0
Bean Counter,1,1,0,1,0,0,food,0,0
Beanfield,1,1,1,1,0,0,field,0,0
Beating Rod,1,1,1,1,0,0,reed cattle,0,0
Bed in the Grain Field,0,1,0,0,grain,0,growth,0,more
Beer Keg,1,1,1,0,grain,0,VP food,0,0
Beer Stein,0,0,0,0,0,0,0,0,0
Beer Table,1,1,1,0,grain,0,VP,0,0
Beer Tap,1,1,1,1,0,0,food,0,0
Bellfounder,1,1,1,0,round_clay,0,food VP,0,0
Blade Shears,0,0,0,0,0,0,0,0,0
Blueprint,1,1,1,1,0,0,major,0,0
Bohemian,1,1,0,1,0,0,food,0,0
Bonehead,1,1,0,1,0,0,wood,0,0
Bookcase,1,0,0,0,occupation,0,vegetable,0,0
Bookshelf,0,1,1,0,occupation,0,food,0,0
Bottles,1,1,1,1,0,0,VP,0,0
Bread Paddle,1,1,1,1,0,0,food bake,0,0
Brewery Pond,1,1,0,1,0,0,wood grain,0,0
Brewing Water,1,1,0,0,grain,0,round_food,0,0
Brick Hammer,1,1,0,1,0,0,stone,0,0
Bricklayer,1,1,0,1,0,0,clay,0,0
Brook,1,1,0,1,0,0,food,0,0
Brotherly Love,0,0,0,0,0,0,0,0,0
Brushwood Collector,1,1,0,1,0,0,reed,0,more
Bucksaw,1,1,1,1,0,0,VP grain,0,0
Building Expert,0,0,0,0,0,0,0,0,0
Building Tycoon,1,1,0,1,0,0,build,0,more
Butler,0,1,1,0,0,1,VP,0,more
Butter Churn,1,1,1,1,0,0,food,0,0
Buyer,1,1,1,1,0,0,reed stone sheep,0,0
Calcium Fertilizers,0,0,0,0,0,0,0,0,0
Canal Boatman,0,0,0,0,0,0,0,0,0
Canoe,0,1,1,1,0,0,food reed,fishing,0
Carpenter,1,0,0,1,0,0,room,0,more
Carpenter's Axe,1,1,1,1,0,0,stable,0,0
Carpenter's Parlor,1,0,0,0,0,1,room,0,more
Carrot Museum,1,1,0,1,0,0,wood stone,0,0
Case Builder,1,1,1,1,0,0,"grain vegetable
reed wood",0,0
Casual Worker,1,1,0,1,0,0,stable,0,0
Catcher,0,0,0,0,0,0,0,0,0
Cattle Buyer,0,1,1,1,0,0,sheep pig cattle,0,0
Cattle Farm,0,0,0,0,0,0,0,0,0
Cattle Feeder,0,1,1,1,0,0,cattle,grain,0
Cattle Whisperer,1,0,0,1,0,0,cattle,0,0
Cesspit,1,0,0,0,0,1,clay pig,0,0
Chain Float,1,0,0,0,0,1,field,0,0
Chairman,1,0,0,1,0,0,food,0,0
Charcoal Burner,1,1,0,1,0,0,wood food,0,0
Chick Stable,1,1,0,1,0,0,food,0,0
Chicken Coop,1,1,0,1,0,0,round_food,0,0
Chief Forester,0,1,0,1,0,0,sow,wood,0
Childless,1,0,0,1,0,0,"food vegetable
grain",0,0
Chimney Sweep,0,1,1,1,0,0,stone VP,0,0
Chophouse,1,1,0,1,0,0,food,grain vegetable,0
Christianity,1,1,1,1,0,0,VP,0,0
Churchyard,0,1,1,1,0,0,food,0,0
Civic Facade,0,1,1,1,0,0,food,0,0
Claw Knife,0,0,0,0,0,0,0,0,0
Clay Carrier,1,1,1,1,0,0,clay,0,0
Clay Deliveryman,1,1,0,1,0,0,round_clay,0,0
Clay Deposit,0,0,0,0,0,0,0,0,0
Clay Embankment,0,1,1,1,0,0,clay,0,0
Clay Firer,0,1,1,0,clay,0,stone,0,0
Clay Hut Builder,0,0,0,0,0,0,0,0,0
Clay Kneader,1,1,1,1,0,0,wood clay,grain vegetable,0
Clay Plasterer,1,1,0,1,0,0,clay,0,more
Clay Puncher,0,0,0,0,0,0,0,0,0
Clay Supply,1,1,1,1,0,0,round_clay,0,0
Clay Supports,1,1,1,1,0,0,room,0,more
Clay Warden,1,1,0,1,0,0,clay,0,0
Claypipe,1,1,0,1,0,0,food,0,0
Clearing Spade,1,1,1,1,0,0,harvest,0,0
Club House,1,1,0,1,0,0,food stone,0,0
Cob,1,1,1,1,0,0,clay,0,0
Collector,1,1,1,1,0,0,"wood clay reed
stone grain
vegetable sheep
pig cattle",0,0
Collier,1,1,0,1,0,0,reed wood,clay,0
Confidant,0,1,1,1,0,0,sow build_fence,0,0
Conjurer,1,1,0,1,0,0,wood grain,traveling_players,0
Conservator,0,1,1,1,0,0,renovation,0,0
Constable,1,1,1,1,0,0,wood,0,0
Consultant,1,1,1,1,0,0,sheep,0,0
Cookery Outfitter,0,0,1,1,0,0,VP,0,0
Cooperative Plower,0,1,1,1,0,0,field,field,0
Cordmaker,1,1,0,1,0,0,grain vegetable,0,0
Corf,1,1,1,1,0,0,stone,0,0
Corn Schnapps Distillery,0,1,1,0,grain,0,food,0,0
Corn Scoop,1,1,1,1,0,0,grain,grain,0
Cottager,1,1,1,1,0,0,renovation build,day_laborer,more
Cow Prince,0,0,1,0,cattle,0,VP,0,0
Cowherd,0,1,1,1,0,0,cattle,0,0
Crack Weeder,1,1,1,1,0,0,food,0,0
Craftsmanship Promoter,0,0,0,0,0,0,0,0,0
Credit,0,1,1,1,0,0,food,0,0
Cube Cutter,0,1,1,0,wood,0,VP,0,0
